floor_type,lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,sw_psf,vol_per_area_in,M0_kipft,qu_psf,punch_ratio,punch_ok,vu_max_psi,has_studs,n_stud_cols,stud_rails_max,stud_per_rail_max,defl_ratio,defl_ok,defl_in,defl_limit_in,col_min_in,col_max_in,col_rho_max,As_cs_in2,As_ms_in2,As_total_in2,integrity_ok,n_transfer_bars,runtime_s,h_drop_in,a_drop1_ft,a_drop2_ft,fdn_n_sized,fdn_n_groups,fdn_max_B_ft,fdn_max_L_ft,fdn_max_D_in,fdn_max_util,fdn_conc_vol_ft3,fdn_steel_vol_in3,fdn_ok,min_h_rule,LD_ratio,ddm_eligible
flat_plate,20.0,20.0,12.007874015748031,50.0,MDDM,8.00524934383202,99.11735910372566,8.00524934383202,190.2903622658385,222.94083092447076,0.9725978325382533,true,184.53746388983427,false,0,0,0,0.06138586605046992,true,0.040950763660090386,0.6671041119860017,17.0,23.0,0.0616,10.4,3.5999999999999996,14.0,false,0,8.57,0.0,0.0,0.0,16,3,4.75,4.75,12.0,0.965,199.8,2844.0,true,ACI,0.45454545454545453,true
flat_plate,20.0,20.0,12.007874015748031,50.0,DDM (Full),8.00524934383202,99.11735910372566,8.00524934383202,190.2903622658385,222.94083092447076,0.9725978325382533,true,184.53746388983427,false,0,0,0,0.06138586605046992,true,0.040950763660090386,0.6671041119860017,17.0,23.0,0.0616,10.999999999999998,3.5999999999999996,14.6,false,0,0.1,0.0,0.0,0.0,16,3,4.75,4.75,12.0,0.965,199.8,2844.0,true,ACI,0.45454545454545453,true
flat_plate,20.0,20.0,12.007874015748031,50.0,EFM (HC),8.00524934383202,99.11735910372566,8.00524934383202,192.8745416255786,222.94083092447076,0.9844193048438693,true,186.7804305567752,false,0,0,0,0.06138586605046992,true,0.040950763660090386,0.6671041119860017,17.0,17.0,0.0616,13.4,3.5999999999999996,17.0,false,0,4.655,0.0,0.0,0.0,16,3,4.75,4.75,12.0,0.964,199.8,2844.0,true,ACI,0.45454545454545453,true
flat_plate,20.0,20.0,12.007874015748031,50.0,EFM (ASAP),8.00524934383202,99.11735910372566,8.00524934383202,192.8745416255786,222.94083092447076,0.9695047951541576,true,183.95060130852679,false,0,0,0,0.061385866050469876,true,0.04095076366009036,0.6671041119860017,17.0,17.0,0.0496,13.200000000000001,3.5999999999999996,16.8,false,0,0.066,0.0,0.0,0.0,16,3,4.75,4.75,12.0,0.964,199.8,2844.0,true,ACI,0.45454545454545453,true
flat_plate,20.0,20.0,12.007874015748031,50.0,FEA,8.00524934383202,99.11735910372566,8.00524934383202,190.2903622658385,222.94083092447076,0.9739724014588205,true,184.79827000522656,false,0,0,0,0.10226382976815984,true,0.06822062134577592,0.6671041119860017,17.0,23.0,0.07680555555555556,10.6,3.5999999999999996,14.2,false,0,18.18,0.0,0.0,0.0,16,3,4.75,4.75,12.0,0.965,199.8,2844.0,true,ACI,0.45454545454545453,true
flat_slab,20.0,20.0,12.007874015748031,50.0,MDDM,7.277499403483655,90.10669009429607,7.277499403483655,185.8976584521955,215.84249176743583,0.8766198564895469,true,166.32692331821428,false,0,0,0,0.08170458771317538,true,0.054505466431580246,0.6671041119860017,17.0,19.0,0.0496,10.999999999999998,3.2,14.2,false,0,3.834,2.25,3.335520559930009,3.335520559930009,16,3,4.5,4.5,12.0,0.956,190.5,2464.8,true,ACI,0.45454545454545453,true
flat_slab,20.0,20.0,12.007874015748031,50.0,DDM (Full),7.277499403483655,90.10669009429607,7.277499403483655,185.8976584521955,215.84249176743583,0.8766198564895469,true,166.32692331821428,false,0,0,0,0.08170458771317538,true,0.054505466431580246,0.6671041119860017,17.0,19.0,0.0496,11.799999999999999,3.2,14.999999999999998,true,0,0.09,2.25,3.335520559930009,3.335520559930009,16,3,4.5,4.5,12.0,0.956,190.5,2464.8,true,ACI,0.45454545454545453,true
flat_slab,20.0,20.0,12.007874015748031,50.0,EFM (HC),7.277499403483655,90.10669009429607,7.277499403483655,183.51997711053565,212.12802811315524,0.909810467261053,true,172.62439893641894,false,0,0,0,0.0817045877131754,true,0.05450546643158026,0.6671041119860017,17.0,17.0,0.04489795918367347,13.799999999999999,3.2,17.0,false,0,3.262,2.25,3.335520559930009,3.335520559930009,16,3,4.5,4.5,12.0,0.956,190.5,2464.8,true,ACI,0.45454545454545453,true
flat_slab,20.0,20.0,12.007874015748031,50.0,EFM (ASAP),7.277499403483655,90.10669009429607,7.277499403483655,183.51997711053565,212.12802811315524,0.7263835974513438,true,137.82159737598752,false,0,0,0,0.08170458771317546,true,0.0545054664315803,0.6671041119860017,17.0,17.0,0.0496,14.0,3.2,17.200000000000003,true,0,0.151,2.25,3.335520559930009,3.335520559930009,16,3,4.5,4.5,12.0,0.956,190.5,2464.8,true,ACI,0.45454545454545453,true
flat_slab,20.0,20.0,12.007874015748031,50.0,FEA,7.277499403483655,90.10669009429607,7.277499403483655,182.69851962609002,212.12802811315524,0.9192002655090835,true,174.40598789041306,false,0,0,0,0.16028577107861014,true,0.10692729697938777,0.6671041119860017,17.0,19.0,0.07680555555555556,11.6,3.4,15.0,true,0,6.926,2.25,3.335520559930009,3.335520559930009,16,3,4.5,4.5,12.0,0.956,190.5,2464.8,true,ACI,0.45454545454545453,true
