floor_type,lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,sw_psf,vol_per_area_in,M0_kipft,qu_psf,punch_ratio,punch_ok,vu_max_psi,has_studs,n_stud_cols,stud_rails_max,stud_per_rail_max,defl_ratio,defl_ok,defl_in,defl_limit_in,col_min_in,col_max_in,col_rho_max,As_cs_in2,As_ms_in2,As_total_in2,integrity_ok,n_transfer_bars,runtime_s,h_drop_in,a_drop1_ft,a_drop2_ft,min_h_rule,LD_ratio,ddm_eligible
flat_slab,16.0,16.0,12.007874015748031,40.0,MDDM,5.0,61.9077275713434,5.0,69.95156141035386,166.00373673989264,0.6097302586766583,true,115.68818254451301,false,0,0,0,0.10319125952150582,true,0.055071450838248964,0.5336832895888015,18.0,18.0,0.019506172839506175,19.03,26.86,45.89,true,0,0.228,2.25,2.6684164479440073,2.6684164479440073,nomin,0.43478260869565216,true
flat_slab,16.0,16.0,12.007874015748031,40.0,DDM (Full),5.0,61.9077275713434,5.0,69.95156141035386,166.00373673989264,0.6097302586766583,true,115.68818254451301,false,0,0,0,0.10319125952150582,true,0.055071450838248964,0.5336832895888015,18.0,18.0,0.019506172839506175,7.2,26.86,34.059999999999995,true,0,0.149,2.25,2.6684164479440073,2.6684164479440073,nomin,0.43478260869565216,true
flat_slab,16.0,16.0,12.007874015748031,40.0,EFM (HC),5.0,61.9077275713434,5.0,68.38634042484038,162.28927308561208,0.6987536386197232,true,132.57918128211116,false,0,0,0,0.10319125952150578,true,0.055071450838248936,0.5336832895888015,18.0,18.0,0.019506172839506175,8.600000000000001,26.86,35.46,true,2,0.442,2.25,2.6684164479440073,2.6684164479440073,nomin,0.43478260869565216,true
flat_slab,16.0,16.0,12.007874015748031,40.0,EFM (ASAP),5.0,61.9077275713434,5.0,68.38634042484038,162.28927308561208,0.5459385626568959,true,101.37380034641573,false,0,0,0,0.10319125952150582,true,0.055071450838248964,0.5336832895888015,18.0,18.0,0.019506172839506175,9.000000000000002,26.86,35.86,true,0,0.266,2.25,2.6684164479440073,2.6684164479440073,nomin,0.43478260869565216,true
flat_slab,16.0,16.0,12.007874015748031,40.0,FEA,5.0,61.9077275713434,5.0,68.38634042484038,162.28927308561208,0.6680522467921705,true,126.75400175137041,false,0,0,0,0.16382825012128502,true,0.08743239945230435,0.5336832895888015,18.0,18.0,0.019506172839506175,7.0,14.629999999999999,21.63,true,0,3.823,2.25,2.6684164479440073,2.6684164479440073,nomin,0.43478260869565216,true
flat_slab,16.0,16.0,12.007874015748031,80.0,MDDM,5.0,61.9077275713434,5.0,96.92023102095062,230.00373673989264,0.8448016933423126,true,160.28985132772877,false,0,0,0,0.2063825190430116,true,0.1101429016764979,0.5336832895888015,18.0,18.0,0.019506172839506175,9.200000000000001,26.86,36.06,false,0,0.158,2.25,2.6684164479440073,2.6684164479440073,nomin,0.8695652173913043,true
flat_slab,16.0,16.0,12.007874015748031,80.0,DDM (Full),5.0,61.9077275713434,5.0,96.92023102095062,230.00373673989264,0.8448016933423126,true,160.28985132772877,false,0,0,0,0.2063825190430116,true,0.1101429016764979,0.5336832895888015,18.0,18.0,0.019506172839506175,10.399999999999999,2.6,13.0,true,0,0.178,2.25,2.6684164479440073,2.6684164479440073,nomin,0.8695652173913043,true
flat_slab,16.0,16.0,12.007874015748031,80.0,EFM (HC),5.0,61.9077275713434,5.0,95.35501003543715,226.28927308561205,0.9743124110597913,true,184.86278229115013,false,0,0,0,0.2063825190430117,true,0.11014290167649796,0.5336832895888015,18.0,18.0,0.019506172839506175,12.600000000000001,2.6,15.2,true,2,0.152,2.25,2.6684164479440073,2.6684164479440073,nomin,0.8695652173913043,true
flat_slab,16.0,16.0,12.007874015748031,80.0,EFM (ASAP),5.0,61.9077275713434,5.0,95.35501003543715,226.28927308561205,0.7612335562552064,true,141.35132380693454,false,0,0,0,0.2063825190430117,true,0.11014290167649796,0.5336832895888015,18.0,18.0,0.019506172839506175,13.0,2.8000000000000003,15.799999999999999,true,0,0.234,2.25,2.6684164479440073,2.6684164479440073,nomin,0.8695652173913043,true
flat_slab,16.0,16.0,12.007874015748031,80.0,FEA,5.0,61.9077275713434,5.0,95.35501003543715,226.28927308561205,0.9315036935932413,true,176.74039923685427,false,0,0,0,0.8130521082114027,true,0.43391232371737165,0.5336832895888015,18.0,18.0,0.019506172839506175,9.8,2.8,12.600000000000001,true,0,3.433,2.25,2.6684164479440073,2.6684164479440073,nomin,0.8695652173913043,true
flat_slab,16.0,16.0,12.007874015748031,125.0,MDDM,5.0,61.9077275713434,5.0,114.44466056881005,302.0037367398927,0.7313177027414832,true,148.012099168376,true,8,4,3,0.3224726860047058,true,0.17209828386952805,0.5336832895888015,18.0,35.999999999999986,0.019506172839506175,11.2,2.4,13.6,false,0,0.796,2.25,2.6684164479440073,2.6684164479440073,nomin,1.358695652173913,true
flat_slab,16.0,16.0,12.007874015748031,125.0,DDM (Full),5.0,61.9077275713434,5.0,114.44466056881005,302.0037367398927,0.7313177027414832,true,148.012099168376,true,8,4,3,0.3224726860047058,true,0.17209828386952805,0.5336832895888015,18.0,35.999999999999986,0.019506172839506175,12.399999999999999,3.0000000000000004,15.399999999999999,true,0,0.8,2.25,2.6684164479440073,2.6684164479440073,nomin,1.358695652173913,true
flat_slab,16.0,16.0,12.007874015748031,125.0,EFM (HC),5.0,61.9077275713434,5.0,112.01256662758175,298.2892730856121,0.9177003625475246,true,174.12140131274757,true,8,4,3,0.3224726860047058,true,0.17209828386952805,0.5336832895888015,18.0,35.999999999999986,0.019506172839506175,16.8,3.4,20.2,true,4,0.758,2.25,2.6684164479440073,2.6684164479440073,nomin,1.358695652173913,true
flat_slab,16.0,16.0,12.007874015748031,125.0,EFM (ASAP),5.0,61.9077275713434,5.0,113.03706032949427,298.2892730856121,0.9672064136826741,true,183.51451408561778,true,8,4,3,0.3224726860047058,true,0.17209828386952808,0.5336832895888015,18.0,35.999999999999986,0.019506172839506175,18.8,3.5999999999999996,22.4,true,0,0.941,2.25,2.6684164479440073,2.6684164479440073,nomin,1.358695652173913,true
flat_slab,16.0,16.0,12.007874015748031,125.0,FEA,5.999999999999999,74.2892730856121,5.999999999999999,130.4443652219152,313.1471277027345,0.8207007318934911,true,155.71701540903751,false,0,0,0,0.6219333451071736,true,0.3319154335217637,0.5336832895888015,18.0,22.0,0.019506172839506175,10.6,2.8,13.4,true,0,10.761,2.25,2.6684164479440073,2.6684164479440073,nomin,1.358695652173913,true
flat_slab,16.0,16.0,12.007874015748031,200.0,MDDM,5.0,61.9077275713434,5.0,157.987731735475,422.0037367398927,0.9376100746101983,true,206.82412610532265,true,8,4,3,0.515956297607529,true,0.2753572541912448,0.5336832895888015,20.0,35.999999999999986,0.019506172839506175,16.4,3.4,19.8,false,0,0.848,2.25,2.6684164479440073,2.6684164479440073,nomin,2.1739130434782608,false
flat_slab,16.0,16.0,12.007874015748031,200.0,DDM (Full),5.0,61.9077275713434,5.0,157.987731735475,422.0037367398927,0.9376100746101983,true,206.82412610532265,true,8,4,3,0.5159562976075293,true,0.2753572541912449,0.5336832895888015,20.0,35.999999999999986,0.019506172839506175,18.2,3.9999999999999996,22.2,true,0,0.7,2.25,2.6684164479440073,2.6684164479440073,nomin,2.1739130434782608,false
