floor_type,lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,sw_psf,vol_per_area_in,M0_kipft,qu_psf,punch_ratio,punch_ok,vu_max_psi,has_studs,n_stud_cols,stud_rails_max,stud_per_rail_max,defl_ratio,defl_ok,defl_in,defl_limit_in,col_min_in,col_max_in,col_rho_max,As_cs_in2,As_ms_in2,As_total_in2,integrity_ok,n_transfer_bars,runtime_s,h_drop_in,a_drop1_ft,a_drop2_ft,LD_ratio,ddm_eligible
flat_plate,16.0,16.0,12.007874015748031,40.0,MDDM,6.404199475065617,79.29388728298053,6.404199475065617,77.17787036971933,183.15266473957664,0.760068311906233,true,144.21282257657833,false,0,0,0,0.04910869284037587,true,0.02620848874245782,0.5336832895888015,18.0,18.0,0.019506172839506175,5.6,2.4,7.999999999999999,false,0,0.135,0.0,0.0,0.0,0.43478260869565216,true
flat_plate,16.0,16.0,12.007874015748031,40.0,DDM (Full),6.404199475065617,79.29388728298053,6.404199475065617,77.17787036971933,183.15266473957664,0.760068311906233,true,144.21282257657833,false,0,0,0,0.04910869284037587,true,0.02620848874245782,0.5336832895888015,18.0,18.0,0.019506172839506175,5.999999999999999,2.4,8.399999999999999,false,0,0.243,0.0,0.0,0.0,0.43478260869565216,true
flat_plate,16.0,16.0,12.007874015748031,40.0,EFM (HC),6.404199475065617,79.29388728298053,6.404199475065617,77.17787036971933,183.15266473957664,0.9029458137151224,true,171.32192250323342,false,0,0,0,0.04910869284037587,true,0.02620848874245782,0.5336832895888015,18.0,18.0,0.019506172839506175,7.199999999999999,2.4,9.599999999999998,false,0,0.115,0.0,0.0,0.0,0.43478260869565216,true
flat_plate,16.0,16.0,12.007874015748031,40.0,EFM (ASAP),6.404199475065617,79.29388728298053,6.404199475065617,77.17787036971933,183.15266473957664,0.8915943809715335,true,169.16813957267613,false,0,0,0,0.04910869284037587,true,0.02620848874245782,0.5336832895888015,18.0,18.0,0.019506172839506175,7.199999999999999,2.4,9.599999999999998,false,0,0.203,0.0,0.0,0.0,0.43478260869565216,true
flat_plate,16.0,16.0,12.007874015748031,40.0,FEA,6.404199475065617,79.29388728298053,6.404199475065617,77.17787036971933,183.15266473957664,0.888627516053357,true,168.6052165335869,false,0,0,0,0.07999468027085703,true,0.04269182411655538,0.5336832895888015,18.0,18.0,0.019506172839506175,5.8,2.4,8.2,true,0,3.757,0.0,0.0,0.0,0.43478260869565216,true
flat_plate,16.0,16.0,12.007874015748031,50.0,MDDM,6.404199475065617,79.29388728298053,6.404199475065617,83.9200377723685,199.15266473957664,0.8264669799670636,true,156.81108405700036,false,0,0,0,0.0613858660504699,true,0.03276061092807231,0.5336832895888015,18.0,18.0,0.019506172839506175,6.199999999999999,2.4,8.6,false,0,0.14,0.0,0.0,0.0,0.5434782608695652,true
flat_plate,16.0,16.0,12.007874015748031,50.0,DDM (Full),6.404199475065617,79.29388728298053,6.404199475065617,83.9200377723685,199.15266473957664,0.8264669799670636,true,156.81108405700036,false,0,0,0,0.0613858660504699,true,0.03276061092807231,0.5336832895888015,18.0,18.0,0.019506172839506175,6.599999999999999,2.4,8.999999999999998,false,0,0.168,0.0,0.0,0.0,0.5434782608695652,true
flat_plate,16.0,16.0,12.007874015748031,50.0,EFM (HC),6.404199475065617,79.29388728298053,6.404199475065617,83.9200377723685,199.15266473957664,0.981826091214684,true,186.2884028651182,false,0,0,0,0.0613858660504699,true,0.03276061092807231,0.5336832895888015,18.0,18.0,0.019506172839506175,7.999999999999999,2.4,10.399999999999999,false,0,0.213,0.0,0.0,0.0,0.5434782608695652,true
flat_plate,16.0,16.0,12.007874015748031,50.0,EFM (ASAP),6.404199475065617,79.29388728298053,6.404199475065617,83.9200377723685,199.15266473957664,0.9694830107429245,true,183.94646800710785,false,0,0,0,0.0613858660504699,true,0.03276061092807231,0.5336832895888015,18.0,18.0,0.019506172839506175,7.999999999999999,2.4,10.399999999999999,false,0,0.115,0.0,0.0,0.0,0.5434782608695652,true
flat_plate,16.0,16.0,12.007874015748031,50.0,FEA,6.404199475065617,79.29388728298053,6.404199475065617,83.9200377723685,199.15266473957664,0.9662157265801974,true,183.32654442407502,false,0,0,0,0.1000250687335881,true,0.05338170772308727,0.5336832895888015,18.0,18.0,0.019506172839506175,6.4,2.4,8.799999999999999,false,0,3.689,0.0,0.0,0.0,0.5434782608695652,true
flat_plate,16.0,16.0,12.007874015748031,80.0,MDDM,6.404199475065617,79.29388728298053,6.404199475065617,102.95375436259309,247.1526647395766,0.8883923671033509,true,168.56060015730193,false,0,0,0,0.09821738568075182,true,0.05241697748491568,0.5336832895888015,18.0,20.0,0.019506172839506175,7.3999999999999995,2.4,9.799999999999999,false,0,0.163,0.0,0.0,0.0,0.8695652173913043,true
flat_plate,16.0,16.0,12.007874015748031,80.0,DDM (Full),6.404199475065617,79.29388728298053,6.404199475065617,102.95375436259309,247.1526647395766,0.8883923671033509,true,168.56060015730193,false,0,0,0,0.09821738568075182,true,0.05241697748491568,0.5336832895888015,18.0,20.0,0.019506172839506175,7.799999999999999,2.4,10.2,false,0,0.265,0.0,0.0,0.0,0.8695652173913043,true
flat_plate,16.0,16.0,12.007874015748031,80.0,EFM (HC),6.404199475065617,79.29388728298053,6.404199475065617,103.25130671796545,247.1526647395766,0.9584850551558246,true,177.16623116646753,false,0,0,0,0.09821738568075182,true,0.05241697748491568,0.5336832895888015,18.0,23.999999999999996,0.019506172839506175,9.599999999999998,2.4,11.999999999999998,false,0,0.345,0.0,0.0,0.0,0.8695652173913043,true
flat_plate,16.0,16.0,12.007874015748031,80.0,EFM (ASAP),6.404199475065617,79.29388728298053,6.404199475065617,103.25130671796545,247.1526647395766,0.9441867754868969,true,174.52333933682263,false,0,0,0,0.09821738568075182,true,0.05241697748491568,0.5336832895888015,18.0,23.999999999999996,0.019506172839506175,9.599999999999998,2.4,11.999999999999998,false,0,0.327,0.0,0.0,0.0,0.8695652173913043,true
flat_plate,16.0,16.0,12.007874015748031,80.0,FEA,6.404199475065617,79.29388728298053,6.404199475065617,102.95375436259309,247.1526647395766,0.9220910177802039,true,174.95446957009574,false,0,0,0,0.15978271664451713,true,0.08527336583828125,0.5336832895888015,18.0,22.0,0.019506172839506175,7.6,2.4,10.0,true,0,5.536,0.0,0.0,0.0,0.8695652173913043,true
flat_plate,16.0,20.0,12.007874015748031,40.0,MDDM,8.00524934383202,99.11735910372566,8.00524934383202,109.00232222938313,206.9408309244708,0.7774273564956482,true,147.5064697109968,false,0,0,0,0.02514365073427247,true,0.013418746236138417,0.5336832895888015,18.0,18.0,0.019506172839506175,6.599999999999999,3.5999999999999996,10.2,false,0,1.137,0.0,0.0,0.0,0.36363636363636365,true
flat_plate,16.0,20.0,12.007874015748031,40.0,DDM (Full),8.00524934383202,99.11735910372566,8.00524934383202,109.00232222938313,206.9408309244708,0.7774273564956482,true,147.5064697109968,false,0,0,0,0.02514365073427247,true,0.013418746236138417,0.5336832895888015,18.0,18.0,0.019506172839506175,6.8,3.5999999999999996,10.399999999999999,false,0,0.124,0.0,0.0,0.0,0.36363636363636365,true
flat_plate,16.0,20.0,12.007874015748031,40.0,EFM (HC),8.00524934383202,99.11735910372566,8.00524934383202,109.00232222938313,206.9408309244708,0.7725115589942713,true,146.57376271376586,false,0,0,0,0.02514365073427247,true,0.013418746236138417,0.5336832895888015,18.0,18.0,0.019506172839506175,8.399999999999999,3.5999999999999996,11.999999999999998,false,0,0.137,0.0,0.0,0.0,0.36363636363636365,true
flat_plate,16.0,20.0,12.007874015748031,40.0,EFM (ASAP),8.00524934383202,99.11735910372566,8.00524934383202,109.00232222938313,206.9408309244708,0.7670053488176934,true,145.52903278775082,false,0,0,0,0.02514365073427247,true,0.013418746236138417,0.5336832895888015,18.0,18.0,0.019506172839506175,8.2,3.5999999999999996,11.799999999999999,false,0,0.147,0.0,0.0,0.0,0.36363636363636365,true
flat_plate,16.0,20.0,12.007874015748031,40.0,FEA,8.00524934383202,99.11735910372566,8.00524934383202,109.00232222938313,206.9408309244708,0.9064853691438066,true,171.99350592677678,false,0,0,0,0.07185270616577777,true,0.038346588592409844,0.5336832895888015,18.0,18.0,0.019506172839506175,6.599999999999999,3.5999999999999996,10.2,false,0,2.896,0.0,0.0,0.0,0.36363636363636365,true
flat_plate,16.0,20.0,12.007874015748031,50.0,MDDM,8.00524934383202,99.11735910372566,8.00524934383202,117.4300314826946,222.94083092447076,0.8375355412765934,true,158.91119590656015,false,0,0,0,0.03142956341784063,true,0.016773432795173043,0.5336832895888015,18.0,18.0,0.019506172839506175,7.0,3.5999999999999996,10.6,false,0,0.114,0.0,0.0,0.0,0.45454545454545453,true
flat_plate,16.0,20.0,12.007874015748031,50.0,DDM (Full),8.00524934383202,99.11735910372566,8.00524934383202,117.4300314826946,222.94083092447076,0.8375355412765934,true,158.91119590656015,false,0,0,0,0.03142956341784063,true,0.016773432795173043,0.5336832895888015,18.0,18.0,0.019506172839506175,7.3999999999999995,3.5999999999999996,10.999999999999998,false,0,1.062,0.0,0.0,0.0,0.45454545454545453,true
flat_plate,16.0,20.0,12.007874015748031,50.0,EFM (HC),8.00524934383202,99.11735910372566,8.00524934383202,117.4300314826946,222.94083092447076,0.8322396701103398,true,157.90637500174975,false,0,0,0,0.03142956341784063,true,0.016773432795173043,0.5336832895888015,18.0,18.0,0.019506172839506175,9.0,3.5999999999999996,12.599999999999998,false,0,0.111,0.0,0.0,0.0,0.45454545454545453,true
flat_plate,16.0,20.0,12.007874015748031,50.0,EFM (ASAP),8.00524934383202,99.11735910372566,8.00524934383202,117.4300314826946,222.94083092447076,0.826307737458252,true,156.78086991531052,false,0,0,0,0.03142956341784063,true,0.016773432795173043,0.5336832895888015,18.0,18.0,0.019506172839506175,9.0,3.5999999999999996,12.599999999999998,false,0,0.128,0.0,0.0,0.0,0.45454545454545453,true
flat_plate,16.0,20.0,12.007874015748031,50.0,FEA,8.00524934383202,99.11735910372566,8.00524934383202,117.4300314826946,222.94083092447076,0.9765381140760204,true,185.28507974673357,false,0,0,0,0.08981959909743294,true,0.04793521911586536,0.5336832895888015,18.0,18.0,0.019506172839506175,7.0,3.5999999999999996,10.6,false,0,2.775,0.0,0.0,0.0,0.45454545454545453,true
