floor_type,lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,h_min_in,h_over_h_min,sw_psf,vol_per_area_in,M0_kipft,qu_psf,punch_ratio,punch_ok,vu_max_psi,has_studs,n_stud_cols,stud_rails_max,stud_per_rail_max,defl_ratio,defl_ok,defl_in,defl_limit_in,col_min_in,col_max_in,col_rho_max,As_cs_in2,As_ms_in2,As_total_in2,integrity_ok,n_transfer_bars,pattern_loading,runtime_s,h_drop_in,a_drop1_ft,a_drop2_ft,failures,fdn_n_sized,fdn_n_groups,fdn_max_B_ft,fdn_max_L_ft,fdn_max_D_in,fdn_max_util,fdn_conc_vol_ft3,fdn_steel_vol_in3,fdn_ok,converged,failure_reason,failing_check,min_h_rule
flat_plate,16.0,16.0,12.007874015748031,50.0,ACI Min,6.404199475065617,6.4,1.0,79.29388728298053,6.404199475065617,87.81992386290746,199.15266473957664,1.2271699949229362,false,232.83913561042465,false,0,0,0,0.0613858660504699,true,0.03276061092807231,0.5336832895888015,14.0,14.0,0.062,6.4,2.4,8.8,true,0,false,0.927,0.0,0.0,0.0,punching_shear,0,0,NaN,NaN,NaN,NaN,NaN,NaN,false,false,punching_shear,punching_shear,ACI
flat_plate,16.0,16.0,12.007874015748031,150.0,ACI Min,6.404199475065617,6.4,1.0,79.29388728298053,6.404199475065617,158.37478104465455,359.1526647395766,2.213082985062558,false,419.90297302572475,false,0,0,0,0.18415759815140967,true,0.0982818327842169,0.5336832895888015,14.0,14.0,0.061111111111111116,11.4,2.4,13.8,true,0,false,0.045,0.0,0.0,0.0,punching_shear,0,0,NaN,NaN,NaN,NaN,NaN,NaN,false,false,punching_shear,punching_shear,ACI
flat_plate,16.0,16.0,12.007874015748031,250.0,ACI Min,6.404199475065617,6.4,1.0,NaN,NaN,NaN,NaN,NaN,false,NaN,false,0,0,0,NaN,false,NaN,NaN,14.0,14.0,0.0,NaN,NaN,NaN,true,0,false,0.008,0.0,0.0,0.0,applicability,0,0,NaN,NaN,NaN,NaN,NaN,NaN,false,false,applicability,applicability,ACI
flat_plate,16.0,16.0,NaN,250.0,MDDM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,NaN,false,0,0,0,NaN,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,0,false,0.0,0.0,0.0,0.0,ddm_ineligible,0,0,NaN,NaN,NaN,NaN,NaN,NaN,false,false,ddm_ineligible,§8.10.2.6: Live/Dead ratio L/D = 2.71 > 2.0 (using estimated h_min for self-weight),ACI
flat_plate,16.0,16.0,NaN,250.0,DDM (Full),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,NaN,false,0,0,0,NaN,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,0,false,0.0,0.0,0.0,0.0,ddm_ineligible,0,0,NaN,NaN,NaN,NaN,NaN,NaN,false,false,ddm_ineligible,§8.10.2.6: Live/Dead ratio L/D = 2.71 > 2.0 (using estimated h_min for self-weight),ACI
flat_slab,16.0,16.0,12.007874015748031,150.0,ACI Min,5.821999522786926,5.82,1.0,72.08535207543687,5.821999522786926,156.19826133318676,354.21688614480485,1.5353718197474253,false,291.31632033836127,false,0,0,0,0.2451137631395261,true,0.1308131194357926,0.5336832895888015,14.0,14.0,0.058333333333333334,12.399999999999999,2.6,14.999999999999998,true,0,false,0.019,0.0,0.0,0.0,"punching_shear, flexural_adequacy",0,0,NaN,NaN,NaN,NaN,NaN,NaN,false,false,"punching_shear, flexural_adequacy",punching_shear,ACI
flat_slab,16.0,16.0,12.007874015748031,250.0,ACI Min,5.821999522786926,5.82,1.0,NaN,NaN,NaN,NaN,NaN,false,NaN,false,0,0,0,NaN,false,NaN,NaN,14.0,14.0,0.0,NaN,NaN,NaN,true,0,false,0.011,0.0,0.0,0.0,applicability,0,0,NaN,NaN,NaN,NaN,NaN,NaN,false,false,applicability,applicability,ACI
flat_slab,16.0,16.0,NaN,250.0,MDDM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,NaN,false,0,0,0,NaN,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,0,false,0.0,0.0,0.0,0.0,ddm_ineligible,0,0,NaN,NaN,NaN,NaN,NaN,NaN,false,false,ddm_ineligible,§8.10.2.6: Live/Dead ratio L/D = 2.71 > 2.0 (using estimated h_min for self-weight),ACI
flat_slab,16.0,16.0,NaN,250.0,DDM (Full),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,NaN,false,0,0,0,NaN,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,0,false,0.0,0.0,0.0,0.0,ddm_ineligible,0,0,NaN,NaN,NaN,NaN,NaN,NaN,false,false,ddm_ineligible,§8.10.2.6: Live/Dead ratio L/D = 2.71 > 2.0 (using estimated h_min for self-weight),ACI
flat_slab,16.0,16.0,NaN,250.0,EFM (HC),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,NaN,false,0,0,0,NaN,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,0,false,2.226,0.0,0.0,0.0,non_convergence,0,0,NaN,NaN,NaN,NaN,NaN,NaN,false,false,non_convergence,punching_shear,ACI
