floor_type,lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,sw_psf,vol_per_area_in,M0_kipft,qu_psf,punch_ratio,punch_ok,vu_max_psi,has_studs,n_stud_cols,stud_rails_max,stud_per_rail_max,defl_ratio,defl_ok,defl_in,defl_limit_in,col_min_in,col_max_in,col_rho_max,As_cs_in2,As_ms_in2,As_total_in2,integrity_ok,n_transfer_bars,runtime_s,h_drop_in,a_drop1_ft,a_drop2_ft,LD_ratio,ddm_eligible
flat_slab,16.0,16.0,12.007874015748031,40.0,MDDM,5.821999522786926,72.08535207543687,5.821999522786926,75.09800502294657,178.2168861448048,0.5614049903024491,true,106.5191075484288,false,0,0,0,0.06536367017054028,true,0.03488349851621135,0.5336832895888015,18.0,18.0,0.019506172839506175,5.999999999999999,2.4,8.399999999999999,false,0,4.059,2.25,2.6684164479440073,2.6684164479440073,0.43478260869565216,true
flat_slab,16.0,16.0,12.007874015748031,40.0,DDM (Full),5.821999522786926,72.08535207543687,5.821999522786926,75.09800502294657,178.2168861448048,0.5614049903024491,true,106.5191075484288,false,0,0,0,0.06536367017054028,true,0.03488349851621135,0.5336832895888015,18.0,18.0,0.019506172839506175,6.4,2.4,8.799999999999999,false,0,0.138,2.25,2.6684164479440073,2.6684164479440073,0.43478260869565216,true
flat_slab,16.0,16.0,12.007874015748031,40.0,EFM (HC),5.821999522786926,72.08535207543687,5.821999522786926,73.53278403743307,174.5024224905242,0.6029617637234725,true,114.40395092150771,false,0,0,0,0.06536367017054028,true,0.03488349851621135,0.5336832895888015,18.0,18.0,0.019506172839506175,7.6,2.4,10.0,false,0,3.464,2.25,2.6684164479440073,2.6684164479440073,0.43478260869565216,true
flat_slab,16.0,16.0,12.007874015748031,40.0,EFM (ASAP),5.821999522786926,72.08535207543687,5.821999522786926,73.53278403743307,174.5024224905242,0.47591175628472904,true,90.29790690664181,false,0,0,0,0.06536367017054028,true,0.03488349851621135,0.5336832895888015,18.0,18.0,0.019506172839506175,7.800000000000001,2.4,10.2,true,0,0.247,2.25,2.6684164479440073,2.6684164479440073,0.43478260869565216,true
flat_slab,16.0,16.0,12.007874015748031,40.0,FEA,5.821999522786926,72.08535207543687,5.821999522786926,73.53278403743307,174.5024224905242,0.6079532818629197,true,115.35102489966965,false,0,0,0,0.09654390425151797,true,0.051523868410696394,0.5336832895888015,18.0,18.0,0.019506172839506175,6.199999999999999,2.4,8.6,true,0,7.141,2.25,2.6684164479440073,2.6684164479440073,0.43478260869565216,true
flat_slab,16.0,16.0,12.007874015748031,80.0,MDDM,5.821999522786926,72.08535207543687,5.821999522786926,102.06667463354333,242.2168861448048,0.7630128185873793,true,144.77150343845867,false,0,0,0,0.13072734034108052,true,0.06976699703242269,0.5336832895888015,18.0,18.0,0.019506172839506175,8.2,2.4,10.6,false,0,0.132,2.25,2.6684164479440073,2.6684164479440073,0.8695652173913043,true
flat_slab,16.0,16.0,12.007874015748031,80.0,DDM (Full),5.821999522786926,72.08535207543687,5.821999522786926,102.06667463354333,242.2168861448048,0.7630128185873793,true,144.77150343845867,false,0,0,0,0.13072734034108052,true,0.06976699703242269,0.5336832895888015,18.0,18.0,0.019506172839506175,8.799999999999999,2.4,11.2,true,0,0.163,2.25,2.6684164479440073,2.6684164479440073,0.8695652173913043,true
flat_slab,16.0,16.0,12.007874015748031,80.0,EFM (HC),5.821999522786926,72.08535207543687,5.821999522786926,100.50145364802984,238.50242249052422,0.8240809492973313,true,156.3583665679981,false,0,0,0,0.13072734034108047,true,0.06976699703242266,0.5336832895888015,18.0,18.0,0.019506172839506175,10.6,2.4,13.0,false,0,0.158,2.25,2.6684164479440073,2.6684164479440073,0.8695652173913043,true
flat_slab,16.0,16.0,12.007874015748031,80.0,EFM (ASAP),5.821999522786926,72.08535207543687,5.821999522786926,100.50145364802984,238.50242249052422,0.6504557652876792,true,123.41530412981729,false,0,0,0,0.13072734034108052,true,0.06976699703242269,0.5336832895888015,18.0,18.0,0.019506172839506175,10.8,2.4,13.200000000000001,true,0,0.187,2.25,2.6684164479440073,2.6684164479440073,0.8695652173913043,true
flat_slab,16.0,16.0,12.007874015748031,80.0,FEA,5.821999522786926,72.08535207543687,5.821999522786926,100.50145364802984,238.50242249052422,0.8309244560386801,true,157.65683067712084,false,0,0,0,0.2351083898499913,true,0.12547341890506974,0.5336832895888015,18.0,18.0,0.019506172839506175,8.6,2.6,11.2,true,0,3.118,2.25,2.6684164479440073,2.6684164479440073,0.8695652173913043,true
flat_slab,16.0,16.0,12.007874015748031,125.0,MDDM,5.821999522786926,72.08535207543687,5.821999522786926,132.40642794546469,314.2168861448048,0.9898216254079256,true,187.80544881474222,false,0,0,0,0.20426146928293848,true,0.10901093286316053,0.5336832895888015,18.0,18.0,0.019506172839506175,10.6,2.4,13.0,false,0,0.114,2.25,2.6684164479440073,2.6684164479440073,1.358695652173913,true
flat_slab,16.0,16.0,12.007874015748031,125.0,DDM (Full),5.821999522786926,72.08535207543687,5.821999522786926,132.40642794546469,314.2168861448048,0.9898216254079256,true,187.80544881474222,false,0,0,0,0.20426146928293848,true,0.10901093286316053,0.5336832895888015,18.0,18.0,0.019506172839506175,11.2,2.8,14.0,true,0,0.14,2.25,2.6684164479440073,2.6684164479440073,1.358695652173913,true
