floor_type,lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,sw_psf,vol_per_area_in,M0_kipft,qu_psf,punch_ratio,punch_ok,vu_max_psi,has_studs,n_stud_cols,stud_rails_max,stud_per_rail_max,defl_ratio,defl_ok,defl_in,defl_limit_in,col_min_in,col_max_in,col_rho_max,As_cs_in2,As_ms_in2,As_total_in2,integrity_ok,n_transfer_bars,runtime_s,h_drop_in,a_drop1_ft,a_drop2_ft,fdn_n_sized,fdn_n_groups,fdn_max_B_ft,fdn_max_L_ft,fdn_max_D_in,fdn_max_util,fdn_conc_vol_ft3,fdn_steel_vol_in3,fdn_ok,min_h_rule,LD_ratio,ddm_eligible
flat_slab,16.0,32.0,12.007874015748031,50.0,DDM (Full),5.0,61.9077275713434,5.0,123.18784477718131,182.00373673989264,0.937224320470499,true,121.26600763153904,false,0,0,0,0.12898907440188237,true,0.06883931354781125,0.5336832895888015,35.99999999999999,35.99999999999999,0.042777777777777776,12.600000000000001,4.3999999999999995,17.0,true,0,0.398,2.25,2.6684164479440073,5.331364829396326,16,3,4.75,4.75,12.0,0.986,199.8,2844.0,true,nomin,0.3048780487804878,true
flat_slab,16.0,32.0,12.007874015748031,50.0,EFM (HC),5.5,68.09850032847775,5.5,126.10483931620468,185.71820039417332,0.8071519748334421,true,108.12098139846367,false,0,0,0,0.09691140075272896,true,0.05171999515237505,0.5336832895888015,33.99999999999999,35.99999999999999,0.040306122448979596,17.4,4.3999999999999995,21.799999999999997,true,4,0.387,2.25,2.6684164479440073,5.331364829396326,16,3,4.75,4.75,12.0,0.961,213.2,2957.8,true,nomin,0.3048780487804878,true
flat_slab,16.0,32.0,12.007874015748031,50.0,EFM (ASAP),5.5,68.09850032847775,5.5,126.10483931620468,185.71820039417332,0.8071519748334421,true,108.12098139846367,false,0,0,0,0.09691140075272901,true,0.051719995152375076,0.5336832895888015,33.99999999999999,35.99999999999999,0.0434,18.2,4.3999999999999995,22.6,true,0,0.401,2.25,2.6684164479440073,5.331364829396326,16,3,4.75,4.75,12.0,0.961,213.2,2957.8,true,nomin,0.3048780487804878,true
flat_slab,16.0,32.0,12.007874015748031,50.0,FEA,5.999999999999999,74.2892730856121,5.999999999999999,133.25424436563867,193.14712770273448,0.6726701715897339,true,96.7563540308196,false,0,0,0,0.8799168550117575,true,0.46959692174730727,0.5336832895888015,29.999999999999996,35.99999999999999,0.042777777777777776,9.6,4.3999999999999995,14.0,true,24,40.171,2.25,2.6684164479440073,5.331364829396326,16,3,4.75,4.75,12.0,0.999,213.2,2957.8,true,nomin,0.3048780487804878,true
flat_slab,16.0,32.0,12.007874015748031,80.0,MDDM,5.999999999999999,74.2892730856121,5.999999999999999,165.73270553829272,244.86159135701507,0.9129422430687741,true,126.41834808731191,false,0,0,0,0.11943432814989106,true,0.06374010513686226,0.5336832895888015,35.99999999999999,35.99999999999999,0.061111111111111116,13.200000000000001,4.3999999999999995,17.599999999999998,false,0,0.405,2.25,2.6684164479440073,5.331364829396326,16,3,5.5,5.5,12.0,0.931,279.2,3450.7,true,nomin,0.4878048780487805,true
flat_slab,16.0,32.0,12.007874015748031,80.0,DDM (Full),5.999999999999999,74.2892730856121,5.999999999999999,165.73270553829272,244.86159135701507,0.9129422430687741,true,126.41834808731191,false,0,0,0,0.11943432814989106,true,0.06374010513686226,0.5336832895888015,35.99999999999999,35.99999999999999,0.07680555555555556,13.799999999999999,4.3999999999999995,18.2,false,0,0.422,2.25,2.6684164479440073,5.331364829396326,16,3,5.5,5.5,12.0,0.931,279.2,3450.7,true,nomin,0.4878048780487805,true
flat_slab,16.0,32.0,12.007874015748031,80.0,EFM (HC),5.999999999999999,74.2892730856121,5.999999999999999,163.21859906844622,241.14712770273448,0.8990932324438614,true,124.50062650181485,false,0,0,0,0.11943432814989106,true,0.06374010513686226,0.5336832895888015,35.99999999999999,35.99999999999999,0.061224489795918366,20.4,4.3999999999999995,24.799999999999997,false,2,0.375,2.25,2.6684164479440073,5.331364829396326,16,3,5.5,5.5,12.0,0.931,279.2,3450.7,true,nomin,0.4878048780487805,true
flat_slab,16.0,32.0,12.007874015748031,80.0,EFM (ASAP),5.999999999999999,74.2892730856121,5.999999999999999,163.21859906844622,241.14712770273448,0.8990932324438614,true,124.50062650181485,false,0,0,0,0.11943432814989106,true,0.06374010513686226,0.5336832895888015,35.99999999999999,35.99999999999999,0.061224489795918366,20.799999999999997,4.6000000000000005,25.4,true,0,0.386,2.25,2.6684164479440073,5.331364829396326,16,3,5.5,5.5,12.0,0.931,279.2,3450.7,true,nomin,0.4878048780487805,true
flat_slab,16.0,32.0,12.007874015748031,80.0,FEA,7.0,86.67081859988077,7.0,173.2750249478322,256.0049823198569,0.680349424653713,true,109.40562676454506,false,0,0,0,0.9097829328731534,true,0.48553594842749226,0.5336832895888015,35.99999999999999,35.99999999999999,0.061111111111111116,10.6,5.199999999999999,15.799999999999999,false,24,47.605,2.25,2.6684164479440073,5.331364829396326,16,3,5.5,5.5,12.0,0.989,279.2,3450.7,true,nomin,0.4878048780487805,true
flat_slab,16.0,36.0,12.007874015748031,40.0,EFM (HC),5.0,61.9077275713434,5.0,125.57579010125363,162.28927308561208,0.8881341570452642,true,112.63395432916064,false,0,0,0,0.10319125952150582,true,0.055071450838248964,0.5336832895888015,32.99999999999999,34.99999999999999,0.040306122448979596,20.0,4.8,24.799999999999997,true,6,0.384,2.25,2.6684164479440073,5.9984689413823284,16,3,4.75,4.75,12.0,0.945,213.2,2957.8,true,nomin,0.21978021978021975,true
flat_slab,16.0,36.0,12.007874015748031,40.0,EFM (ASAP),5.5,68.09850032847775,5.5,131.3241269977115,169.7182003941733,0.7856126226119318,true,102.96238504010729,false,0,0,0,0.07752912060218319,true,0.041375996121900044,0.5336832895888015,32.99999999999999,34.99999999999999,0.04285714285714286,18.6,4.8,23.4,true,0,0.316,2.25,2.6684164479440073,5.9984689413823284,16,3,4.75,4.75,12.0,0.988,213.2,2957.8,true,nomin,0.21978021978021975,true
flat_slab,16.0,36.0,12.007874015748031,40.0,FEA,6.5,80.48004584274643,6.5,144.64159394566838,184.57605501129572,0.6027919931450694,true,111.69259508549698,false,0,0,0,0.8687135273957519,true,0.4636178930108563,0.5336832895888015,28.999999999999996,34.99999999999999,0.043055555555555555,9.4,5.199999999999999,14.6,true,28,43.598,2.25,2.6684164479440073,5.9984689413823284,16,3,5.0,5.0,12.0,0.99,223.0,3033.6,true,nomin,0.21978021978021975,true
flat_slab,16.0,36.0,12.007874015748031,50.0,EFM (HC),5.5,68.09850032847775,5.5,143.24836536784093,185.71820039417332,0.8596754039317747,true,112.66905266217499,false,0,0,0,0.09691140075272901,true,0.051719995152375076,0.5336832895888015,34.99999999999999,34.99999999999999,0.04489795918367347,19.8,4.8,24.6,true,4,0.322,2.25,2.6684164479440073,5.9984689413823284,16,3,5.0,5.0,12.0,0.996,223.0,3033.6,true,nomin,0.2747252747252747,true
flat_slab,16.0,36.0,12.007874015748031,50.0,EFM (ASAP),5.5,68.09850032847775,5.5,143.24836536784093,185.71820039417332,0.8596754039317747,true,112.66905266217499,false,0,0,0,0.09691140075272907,true,0.0517199951523751,0.5336832895888015,34.99999999999999,34.99999999999999,0.04489795918367347,20.400000000000002,4.8,25.200000000000003,true,0,0.419,2.25,2.6684164479440073,5.9984689413823284,16,3,5.0,5.0,12.0,0.996,223.0,3033.6,true,nomin,0.2747252747252747,true
flat_slab,16.0,36.0,12.007874015748031,50.0,FEA,7.0,86.67081859988077,7.0,161.20535627358245,208.0049823198569,0.6151383769857913,true,116.71430084726414,false,0,0,0,0.8797656899866219,true,0.4695162474994221,0.5336832895888015,32.99999999999999,34.99999999999999,0.061111111111111116,9.799999999999999,5.6000000000000005,15.399999999999999,false,28,44.83,2.25,2.6684164479440073,5.9984689413823284,16,3,5.25,5.25,12.0,0.991,253.0,3261.1,true,nomin,0.2747252747252747,true
flat_slab,16.0,36.0,12.007874015748031,80.0,EFM (HC),5.999999999999999,74.2892730856121,5.999999999999999,186.00186617816527,241.14712770273448,0.959553336912777,true,129.78926441406165,false,0,0,0,0.11943432814989106,true,0.06374010513686226,0.5336832895888015,34.99999999999999,34.99999999999999,0.061224489795918366,23.2,4.8,28.0,true,2,0.243,2.25,2.6684164479440073,5.9984689413823284,16,3,5.75,5.75,12.0,0.99,296.2,3564.5,true,nomin,0.4395604395604395,true
flat_slab,16.0,36.0,12.007874015748031,80.0,EFM (ASAP),5.999999999999999,74.2892730856121,5.999999999999999,186.00186617816527,241.14712770273448,0.959553336912777,true,129.78926441406165,false,0,0,0,0.11943432814989097,true,0.06374010513686221,0.5336832895888015,34.99999999999999,34.99999999999999,0.062,23.599999999999998,5.2,28.799999999999997,true,0,0.333,2.25,2.6684164479440073,5.9984689413823284,16,3,5.75,5.75,12.0,0.99,296.2,3564.5,true,nomin,0.4395604395604395,true
flat_slab,16.0,36.0,12.007874015748031,80.0,FEA,8.0,99.05236411414946,8.0,208.92221951196365,270.8628369369793,0.6970865185486383,true,132.26286748865456,false,0,0,0,0.9623846825252885,true,0.5136086232199704,0.5336832895888015,34.99999999999999,34.99999999999999,0.043055555555555555,11.399999999999999,6.4,17.799999999999997,false,28,47.829,2.25,2.6684164479440073,5.9984689413823284,16,3,6.0,6.0,12.0,0.989,324.5,3754.1,true,nomin,0.4395604395604395,true
flat_slab,16.0,40.0,12.992125984251969,40.0,EFM (HC),5.5,68.09850032847775,5.5,143.6200456716436,169.7182003941733,0.8287281724341968,true,106.54563337284571,false,0,0,0,0.07752912060218321,true,0.04137599612190006,0.5336832895888015,35.99999999999999,35.99999999999999,0.04897959183673469,20.0,5.6000000000000005,25.6,true,2,0.231,2.25,2.6684164479440073,6.6655730533683295,16,3,5.0,5.0,12.0,0.991,237.5,3147.4,true,nomin,0.2,true
