floor_type,lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,M0_kipft,qu_psf,punch_ratio,punch_ok,defl_ratio,defl_ok,col_min_in,col_max_in,As_cs_in2,As_ms_in2,As_total_in2,runtime_s,h_drop_in,a_drop1_ft,a_drop2_ft
flat_plate,16.0,16.0,12.007874015748031,40.0,MDDM,6.404199475065617,78.96097243257863,183.15266473957664,0.8990216234668867,true,0.04910869284037587,true,16.0,16.0,5.6,2.4,7.999999999999999,0.209,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,40.0,DDM (Full),6.404199475065617,78.96097243257863,183.15266473957664,0.8990216234668867,true,0.04910869284037587,true,16.0,16.0,5.999999999999999,2.4,8.399999999999999,0.026,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,40.0,EFM (HC),6.404199475065617,78.96097243257863,183.15266473957664,0.9958830673870795,true,0.04910869284037587,true,16.0,16.0,7.4,2.4,9.8,0.166,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,40.0,EFM (ASAP),6.404199475065617,78.96097243257863,183.15266473957664,0.9853262664779796,true,0.04910869284037587,true,16.0,16.0,7.199999999999999,2.4,9.599999999999998,0.049,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,40.0,FEA,6.404199475065617,78.5132878247424,183.15266473957664,0.8896724164110696,true,0.08032989428334746,true,16.0,18.0,5.8,2.4,8.2,11.756,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,50.0,MDDM,6.404199475065617,85.85890952084128,199.15266473957664,0.9775590883512942,true,0.0613858660504699,true,16.0,16.0,6.199999999999999,2.4,8.6,0.023,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,50.0,DDM (Full),6.404199475065617,85.85890952084128,199.15266473957664,0.9775590883512942,true,0.0613858660504699,true,16.0,16.0,6.599999999999999,2.4,8.999999999999998,0.02,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,50.0,EFM (HC),6.404199475065617,85.61533962919503,199.15266473957664,0.9884590754877898,true,0.0613858660504699,true,16.0,18.0,7.999999999999999,2.4,10.399999999999999,0.037,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,50.0,EFM (ASAP),6.404199475065617,85.61533962919503,199.15266473957664,0.9769206394818398,true,0.0613858660504699,true,16.0,18.0,7.999999999999999,2.4,10.399999999999999,0.08,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,50.0,FEA,6.404199475065617,85.37211571557368,199.15266473957664,0.9674919174057297,true,0.10049081154049139,true,16.0,18.0,6.4,2.4,8.799999999999999,4.075,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,80.0,MDDM,6.404199475065617,104.14653998031608,247.1526647395766,0.8956524750834801,true,0.09821738568075182,true,16.0,20.0,7.3999999999999995,2.4,9.799999999999999,0.146,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,80.0,DDM (Full),6.404199475065617,104.14653998031608,247.1526647395766,0.8956524750834801,true,0.09821738568075182,true,16.0,20.0,7.999999999999999,2.4,10.399999999999999,0.074,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,80.0,EFM (HC),6.404199475065617,105.34619545466147,247.1526647395766,0.9644704346611875,true,0.09821738568075182,true,16.0,23.999999999999996,9.599999999999998,2.4,11.999999999999998,0.115,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,80.0,EFM (ASAP),6.404199475065617,105.34619545466147,247.1526647395766,0.9510400282076035,true,0.09821738568075182,true,16.0,23.999999999999996,9.599999999999998,2.4,11.999999999999998,0.205,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,80.0,FEA,6.404199475065617,104.74550898541099,247.1526647395766,0.9594234350664586,true,0.16039918115594012,true,16.0,22.0,7.6,2.4,10.0,6.703,0.0,0.0,0.0
flat_plate,16.0,20.0,12.007874015748031,40.0,MDDM,8.00524934383202,110.2579110622292,206.9408309244708,0.8404675530904769,true,0.02514365073427247,true,17.0,17.0,6.599999999999999,3.5999999999999996,10.2,0.039,0.0,0.0,0.0
flat_plate,16.0,20.0,12.007874015748031,40.0,DDM (Full),8.00524934383202,110.2579110622292,206.9408309244708,0.8404675530904769,true,0.02514365073427247,true,17.0,17.0,6.8,3.5999999999999996,10.399999999999999,0.043,0.0,0.0,0.0
flat_plate,16.0,20.0,12.007874015748031,40.0,EFM (HC),8.00524934383202,110.2579110622292,206.9408309244708,0.8046026507988998,true,0.02514365073427247,true,17.0,17.0,8.399999999999999,3.5999999999999996,11.999999999999998,0.051,0.0,0.0,0.0
flat_plate,16.0,20.0,12.007874015748031,40.0,EFM (ASAP),8.00524934383202,110.2579110622292,206.9408309244708,0.7998839407284235,true,0.02514365073427247,true,17.0,17.0,8.2,3.5999999999999996,11.799999999999999,0.049,0.0,0.0,0.0
flat_plate,16.0,20.0,12.007874015748031,40.0,FEA,8.00524934383202,110.2579110622292,206.9408309244708,0.969992927136767,true,0.07220024640929526,true,17.0,17.0,6.599999999999999,3.5999999999999996,10.2,3.311,0.0,0.0,0.0
flat_plate,16.0,20.0,12.007874015748031,50.0,MDDM,8.00524934383202,118.7826984090024,222.94083092447076,0.9054498032794486,true,0.03142956341784063,true,17.0,17.0,7.0,3.5999999999999996,10.6,0.067,0.0,0.0,0.0
flat_plate,16.0,20.0,12.007874015748031,50.0,DDM (Full),8.00524934383202,118.7826984090024,222.94083092447076,0.9054498032794486,true,0.03142956341784063,true,17.0,17.0,7.3999999999999995,3.5999999999999996,10.999999999999998,0.051,0.0,0.0,0.0
flat_plate,16.0,20.0,12.007874015748031,50.0,EFM (HC),8.00524934383202,118.7826984090024,222.94083092447076,0.866811942001954,true,0.03142956341784063,true,17.0,17.0,9.0,3.5999999999999996,12.599999999999998,0.047,0.0,0.0,0.0
flat_plate,16.0,20.0,12.007874015748031,50.0,EFM (ASAP),8.00524934383202,118.7826984090024,222.94083092447076,0.8617283964333775,true,0.03142956341784063,true,17.0,17.0,9.0,3.5999999999999996,12.599999999999998,0.054,0.0,0.0,0.0
flat_plate,16.0,20.0,12.007874015748031,50.0,FEA,8.00524934383202,118.44380548238128,222.94083092447076,0.9957424569135628,true,0.0902734385032443,true,17.0,19.0,7.0,3.5999999999999996,10.6,4.938,0.0,0.0,0.0
flat_plate,16.0,20.0,12.007874015748031,80.0,MDDM,8.00524934383202,142.71315924262908,270.94083092447073,0.9525594847671109,true,0.05028730146854498,true,17.0,19.0,8.2,3.5999999999999996,11.799999999999999,0.048,0.0,0.0,0.0
flat_plate,16.0,20.0,12.007874015748031,80.0,DDM (Full),8.00524934383202,142.71315924262908,270.94083092447073,0.9525594847671109,true,0.05028730146854498,true,17.0,19.0,8.6,3.5999999999999996,12.2,0.064,0.0,0.0,0.0
flat_plate,16.0,20.0,12.007874015748031,80.0,EFM (HC),8.00524934383202,143.94520260007846,270.94083092447073,0.9782029904855226,true,0.05028730146854498,true,17.0,19.0,10.8,3.5999999999999996,14.399999999999999,0.095,0.0,0.0,0.0
flat_plate,16.0,20.0,12.007874015748031,80.0,EFM (ASAP),8.00524934383202,143.94520260007846,270.94083092447073,0.9716076389435767,true,0.05028730146854498,true,17.0,19.0,10.6,3.5999999999999996,14.2,0.047,0.0,0.0,0.0
flat_plate,16.0,20.0,12.007874015748031,80.0,FEA,8.00524934383202,142.71315924262908,270.94083092447073,0.985856419228083,true,0.14395231111356796,true,17.0,21.0,8.2,3.5999999999999996,11.799999999999999,5.973,0.0,0.0,0.0
flat_plate,16.0,24.0,12.007874015748031,40.0,MDDM,9.606299212598428,142.50781817334416,230.72899710936497,0.696627926960725,true,0.01455072380455583,true,20.0,20.0,7.799999999999999,5.199999999999999,13.0,0.051,0.0,0.0,0.0
flat_plate,16.0,24.0,12.007874015748031,40.0,DDM (Full),9.606299212598428,142.50781817334416,230.72899710936497,0.696627926960725,true,0.01455072380455583,true,20.0,20.0,7.999999999999999,5.199999999999999,13.199999999999998,0.06,0.0,0.0,0.0
flat_plate,16.0,24.0,12.007874015748031,40.0,EFM (HC),9.606299212598428,142.50781817334416,230.72899710936497,0.647050045454333,true,0.01455072380455583,true,20.0,20.0,9.4,5.199999999999999,14.6,0.084,0.0,0.0,0.0
flat_plate,16.0,24.0,12.007874015748031,40.0,EFM (ASAP),9.606299212598428,142.50781817334416,230.72899710936497,0.6447189101538443,true,0.01455072380455583,true,20.0,20.0,9.4,5.199999999999999,14.6,0.076,0.0,0.0,0.0
flat_plate,16.0,24.0,12.007874015748031,40.0,FEA,9.606299212598428,142.50781817334416,230.72899710936497,0.8298748085216965,true,0.07229412184679601,true,20.0,20.0,7.799999999999999,5.199999999999999,13.0,4.851,0.0,0.0,0.0
flat_plate,16.0,24.0,12.007874015748031,50.0,MDDM,9.606299212598428,152.39008316534574,246.72899710936494,0.744935885522554,true,0.018188404755694776,true,20.0,20.0,8.2,5.199999999999999,13.4,0.068,0.0,0.0,0.0
flat_plate,16.0,24.0,12.007874015748031,50.0,DDM (Full),9.606299212598428,152.39008316534574,246.72899710936494,0.744935885522554,true,0.018188404755694776,true,20.0,20.0,8.4,5.199999999999999,13.6,0.071,0.0,0.0,0.0
flat_plate,16.0,24.0,12.007874015748031,50.0,EFM (HC),9.606299212598428,152.39008316534574,246.72899710936494,0.6919200048307962,true,0.018188404755694776,true,20.0,20.0,10.200000000000001,5.199999999999999,15.400000000000002,0.061,0.0,0.0,0.0
flat_plate,16.0,24.0,12.007874015748031,50.0,EFM (ASAP),9.606299212598428,152.39008316534574,246.72899710936494,0.6894272159658442,true,0.018188404755694776,true,20.0,20.0,10.0,5.199999999999999,15.2,0.049,0.0,0.0,0.0
flat_plate,16.0,24.0,12.007874015748031,50.0,FEA,9.606299212598428,152.39008316534574,246.72899710936494,0.8874264338220521,true,0.09041654821727761,true,20.0,20.0,7.999999999999999,5.199999999999999,13.199999999999998,3.909,0.0,0.0,0.0
flat_plate,16.0,24.0,12.007874015748031,80.0,MDDM,9.606299212598428,182.0368781413504,294.72899710936497,0.8898597612080416,true,0.029101447609111642,true,20.0,20.0,9.2,5.199999999999999,14.399999999999999,0.063,0.0,0.0,0.0
flat_plate,16.0,24.0,12.007874015748031,80.0,DDM (Full),9.606299212598428,182.0368781413504,294.72899710936497,0.8898597612080416,true,0.029101447609111642,true,20.0,20.0,9.6,5.199999999999999,14.799999999999999,0.113,0.0,0.0,0.0
flat_plate,16.0,24.0,12.007874015748031,80.0,EFM (HC),9.606299212598428,182.0368781413504,294.72899710936497,0.8265298829601861,true,0.029101447609111642,true,20.0,20.0,11.8,5.199999999999999,17.0,0.036,0.0,0.0,0.0
flat_plate,16.0,24.0,12.007874015748031,80.0,EFM (ASAP),9.606299212598428,182.0368781413504,294.72899710936497,0.8235521334018437,true,0.029101447609111642,true,20.0,20.0,11.6,5.199999999999999,16.799999999999997,0.044,0.0,0.0,0.0
