floor_type,lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,h_min_in,h_over_h_min,sw_psf,vol_per_area_in,M0_kipft,qu_psf,punch_ratio,punch_ok,vu_max_psi,has_studs,n_stud_cols,stud_rails_max,stud_per_rail_max,defl_ratio,defl_ok,defl_in,defl_limit_in,col_min_in,col_max_in,col_rho_max,As_cs_in2,As_ms_in2,As_total_in2,integrity_ok,n_transfer_bars,pattern_loading,runtime_s,h_drop_in,a_drop1_ft,a_drop2_ft,failures,fdn_n_sized,fdn_n_groups,fdn_max_B_ft,fdn_max_L_ft,fdn_max_D_in,fdn_max_util,fdn_conc_vol_ft3,fdn_steel_vol_in3,fdn_ok,converged,failure_reason,failing_check,min_h_rule,LD_ratio,ddm_eligible
flat_plate,16.0,16.0,12.007874015748031,250.0,MDDM,8.5,5.0,1.7,105.2431368712838,8.5,201.72333261339816,550.2917642455405,0.9820539258721057,true,186.3316314519608,false,0,0,0,0.13127322857915968,true,0.07005832846306861,0.5336832895888015,23.0,36.0,0.04285714285714286,11.2,3.2,14.399999999999999,false,0,false,0.416,0.0,0.0,0.0,,16,3,5.75,5.75,12.0,0.973,312.8,3678.2,true,true,,,nomin,2.717391304347826,false
flat_plate,16.0,16.0,12.007874015748031,250.0,DDM (Full),8.5,5.0,1.7,105.2431368712838,8.5,201.72333261339816,550.2917642455405,0.9820539258721057,true,186.3316314519608,false,0,0,0,0.13127322857915968,true,0.07005832846306861,0.5336832895888015,23.0,36.0,0.04285714285714286,11.999999999999998,3.2,15.2,false,0,false,0.368,0.0,0.0,0.0,,16,3,5.75,5.75,12.0,0.973,312.8,3678.2,true,true,,,nomin,2.717391304347826,false
flat_plate,16.0,16.0,12.007874015748031,250.0,EFM (HC),8.0,5.0,1.6,99.05236411414946,8.0,194.65882426412358,542.8628369369793,0.8087913746106429,true,148.70426924371228,false,0,0,0,0.15745736621323525,true,0.084032365170668,0.5336832895888015,16.0,36.0,0.06171875,16.799999999999997,3.5999999999999996,20.4,false,0,true,0.312,0.0,0.0,0.0,,16,3,5.75,5.75,12.0,0.992,296.2,3564.5,true,true,,,nomin,2.717391304347826,true
flat_plate,16.0,16.0,12.007874015748031,250.0,EFM (ASAP),8.0,5.0,1.6,99.05236411414946,8.0,196.02457230019536,542.8628369369793,0.8029252540332312,true,146.62811888777912,false,0,0,0,0.15745736621323522,true,0.08403236517066798,0.5336832895888015,16.0,35.5,0.06171875,18.4,5.199999999999999,23.599999999999998,true,0,true,0.413,0.0,0.0,0.0,,16,3,5.75,5.75,12.0,0.992,296.2,3564.5,true,true,,,nomin,2.717391304347826,true
flat_plate,16.0,16.0,12.007874015748031,250.0,FEA,8.5,5.03,1.691,105.2431368712838,8.5,210.8289363180109,550.2917642455405,0.9969675409606801,true,189.16129096157772,false,0,0,0,0.34135821014467554,true,0.18217717251815585,0.5336832895888015,14.0,34.5,0.061224489795918366,10.999999999999998,3.5999999999999996,14.6,false,0,true,27.08,0.0,0.0,0.0,,16,3,5.75,5.75,12.0,0.973,312.8,3678.2,true,true,,,nomin,2.717391304347826,true
flat_plate,16.0,20.0,12.007874015748031,50.0,MDDM,4.5,6.39,0.704,55.71695481420906,4.5,78.95571178876268,170.8603457770509,0.9995480702173463,true,143.30472795550347,false,0,0,0,0.1769397454072459,true,0.09442978538794403,0.5336832895888015,23.5,33.0,0.043055555555555555,8.799999999999999,2.8000000000000003,11.6,false,0,false,0.255,0.0,0.0,0.0,,16,3,3.75,3.75,12.0,0.999,131.2,1649.5,true,true,,,nomin,0.45454545454545453,true
flat_plate,16.0,20.0,12.007874015748031,50.0,DDM (Full),4.5,6.39,0.704,55.71695481420906,4.5,78.95571178876268,170.8603457770509,0.9995480702173463,true,143.30472795550347,false,0,0,0,0.17693974540724594,true,0.09442978538794405,0.5336832895888015,23.5,33.0,0.058333333333333334,9.6,2.8000000000000003,12.399999999999999,true,0,false,0.284,0.0,0.0,0.0,,16,3,3.75,3.75,12.0,0.999,131.2,1649.5,true,true,,,nomin,0.45454545454545453,true
flat_plate,16.0,20.0,12.007874015748031,50.0,EFM (HC),5.5,6.37,0.863,68.09850032847775,5.5,85.13236858201756,185.71820039417332,0.7284519370960125,true,114.26606048314218,false,0,0,0,0.0969114007527291,true,0.05171999515237512,0.5336832895888015,17.0,35.0,0.043055555555555555,11.0,2.8000000000000003,13.8,true,0,false,0.237,0.0,0.0,0.0,,16,3,3.75,3.75,12.0,0.965,141.8,1725.4,true,true,,,nomin,0.45454545454545453,true
flat_plate,16.0,20.0,12.007874015748031,50.0,EFM (ASAP),5.5,6.38,0.863,68.09850032847775,5.5,85.19789242230657,185.71820039417332,0.7284519370960125,true,114.26606048314218,false,0,0,0,0.0969114007527291,true,0.05171999515237512,0.5336832895888015,17.0,35.0,0.043055555555555555,11.0,2.8000000000000003,13.8,true,0,false,0.229,0.0,0.0,0.0,,16,3,3.75,3.75,12.0,0.965,141.8,1725.4,true,true,,,nomin,0.45454545454545453,true
flat_plate,16.0,20.0,12.007874015748031,50.0,FEA,5.0,6.48,0.771,61.9077275713434,5.0,85.47965125244339,178.28927308561205,0.9892222195336726,true,177.5852423400656,false,0,0,0,0.45681363136172987,true,0.2437938015141341,0.5336832895888015,17.0,36.0,0.0616,7.800000000000001,3.0000000000000004,10.8,true,4,false,17.925,0.0,0.0,0.0,,16,3,3.75,3.75,12.0,0.926,141.8,1725.4,true,true,,,nomin,0.45454545454545453,true
