floor_type,lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,sw_psf,vol_per_area_in,M0_kipft,qu_psf,punch_ratio,punch_ok,vu_max_psi,has_studs,n_stud_cols,stud_rails_max,stud_per_rail_max,defl_ratio,defl_ok,defl_in,defl_limit_in,col_min_in,col_max_in,col_rho_max,As_cs_in2,As_ms_in2,As_total_in2,integrity_ok,n_transfer_bars,runtime_s,h_drop_in,a_drop1_ft,a_drop2_ft
flat_slab,16.0,16.0,12.007874015748031,40.0,MDDM,5.821999522786926,72.08535207543687,5.821999522786926,75.09800502294657,178.2168861448048,0.529267362431109,true,100.4214213883282,false,0,0,0,0.06536367017054028,true,0.03488349851621135,0.5336832895888015,18.0,18.0,0.019506172839506175,5.999999999999999,2.4,8.399999999999999,false,0,3.657,2.25,2.6684164479440073,2.6684164479440073
flat_slab,16.0,16.0,12.007874015748031,40.0,DDM (Full),5.821999522786926,72.08535207543687,5.821999522786926,75.09800502294657,178.2168861448048,0.529267362431109,true,100.4214213883282,false,0,0,0,0.06536367017054028,true,0.03488349851621135,0.5336832895888015,18.0,18.0,0.019506172839506175,6.4,2.4,8.799999999999999,false,0,0.109,2.25,2.6684164479440073,2.6684164479440073
flat_slab,16.0,16.0,12.007874015748031,40.0,EFM (HC),5.821999522786926,72.08535207543687,5.821999522786926,73.53278403743307,174.5024224905242,0.7394291756027465,true,140.2968217971172,false,0,0,0,0.06536367017054028,true,0.03488349851621135,0.5336832895888015,18.0,18.0,0.019506172839506175,7.6,2.4,10.0,false,0,4.209,2.25,2.6684164479440073,2.6684164479440073
flat_slab,16.0,16.0,12.007874015748031,40.0,EFM (ASAP),5.821999522786926,72.08535207543687,5.821999522786926,73.53278403743307,174.5024224905242,0.612379168164003,true,116.19077778225129,false,0,0,0,0.06536367017054028,true,0.03488349851621135,0.5336832895888015,18.0,18.0,0.019506172839506175,7.800000000000001,2.4,10.2,true,0,0.233,2.25,2.6684164479440073,2.6684164479440073
flat_slab,16.0,16.0,12.007874015748031,40.0,FEA,5.821999522786926,72.08535207543687,5.821999522786926,73.53278403743307,174.5024224905242,0.6078327461076103,true,115.32815484809366,false,0,0,0,0.09647473152665666,true,0.051486952083342585,0.5336832895888015,18.0,18.0,0.019506172839506175,6.199999999999999,2.4,8.6,true,0,6.355,2.25,2.6684164479440073,2.6684164479440073
flat_slab,16.0,16.0,12.007874015748031,50.0,MDDM,5.821999522786926,72.08535207543687,5.821999522786926,81.84017242559577,194.2168861448048,0.5767840595414887,true,109.43708077375668,false,0,0,0,0.08170458771317532,true,0.04360437314526418,0.5336832895888015,18.0,18.0,0.019506172839506175,6.599999999999999,2.4,8.999999999999998,false,0,0.915,2.25,2.6684164479440073,2.6684164479440073
flat_slab,16.0,16.0,12.007874015748031,50.0,DDM (Full),5.821999522786926,72.08535207543687,5.821999522786926,81.84017242559577,194.2168861448048,0.5767840595414887,true,109.43708077375668,false,0,0,0,0.08170458771317532,true,0.04360437314526418,0.5336832895888015,18.0,18.0,0.019506172839506175,7.0,2.4,9.4,true,0,0.124,2.25,2.6684164479440073,2.6684164479440073
flat_slab,16.0,16.0,12.007874015748031,50.0,EFM (HC),5.821999522786926,72.08535207543687,5.821999522786926,80.27495144008228,190.50242249052422,0.8072268980686703,true,153.1605351869744,false,0,0,0,0.08170458771317535,true,0.04360437314526419,0.5336832895888015,18.0,18.0,0.019506172839506175,8.4,2.4,10.8,false,0,0.142,2.25,2.6684164479440073,2.6684164479440073
flat_slab,16.0,16.0,12.007874015748031,50.0,EFM (ASAP),5.821999522786926,72.08535207543687,5.821999522786926,80.27495144008228,190.50242249052422,0.6685277679988053,true,126.84422555669107,false,0,0,0,0.08170458771317532,true,0.04360437314526418,0.5336832895888015,18.0,18.0,0.019506172839506175,8.4,2.4,10.8,true,0,0.138,2.25,2.6684164479440073,2.6684164479440073
flat_slab,16.0,16.0,12.007874015748031,50.0,FEA,5.821999522786926,72.08535207543687,5.821999522786926,80.27495144008228,190.50242249052422,0.6635644878159529,true,125.90250935408763,false,0,0,0,0.12059341440832096,true,0.0643586901041783,0.5336832895888015,18.0,18.0,0.019506172839506175,6.8,2.4,9.2,true,0,3.407,2.25,2.6684164479440073,2.6684164479440073
