floor_type,lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,h_min_in,h_over_h_min,sw_psf,vol_per_area_in,M0_kipft,qu_psf,punch_ratio,punch_ok,vu_max_psi,has_studs,n_stud_cols,stud_rails_max,stud_per_rail_max,defl_ratio,defl_ok,defl_in,defl_limit_in,col_min_in,col_max_in,col_rho_max,As_cs_in2,As_ms_in2,As_total_in2,integrity_ok,n_transfer_bars,pattern_loading,runtime_s,h_drop_in,a_drop1_ft,a_drop2_ft,failures,fdn_n_sized,fdn_n_groups,fdn_max_B_ft,fdn_max_L_ft,fdn_max_D_in,fdn_max_util,fdn_conc_vol_ft3,fdn_steel_vol_in3,fdn_ok,converged,failure_reason,failing_check,min_h_rule,LD_ratio,ddm_eligible
flat_slab,16.0,16.0,12.007874015748031,50.0,MDDM,5.821999522786926,4.94,1.177,72.08535207543687,5.821999522786926,85.64340415143964,194.2168861448048,0.8418433608609064,true,159.7285472046907,false,0,0,0,0.08170458771317532,true,0.04360437314526418,0.5336832895888015,14.0,14.0,0.042777777777777776,6.599999999999999,2.4,8.999999999999998,false,0,false,1.81,2.25,2.6684164479440073,2.6684164479440073,,16,3,3.5,3.5,12.0,0.907,124.0,1592.6,true,true,,,ACI,0.5434782608695652,true
flat_slab,16.0,16.0,12.007874015748031,50.0,DDM (Full),5.821999522786926,4.94,1.177,72.08535207543687,5.821999522786926,85.64340415143964,194.2168861448048,0.8418433608609064,true,159.7285472046907,false,0,0,0,0.08170458771317532,true,0.04360437314526418,0.5336832895888015,14.0,14.0,0.043055555555555555,7.2,2.4,9.6,true,0,false,0.029,2.25,2.6684164479440073,2.6684164479440073,,16,3,3.5,3.5,12.0,0.907,124.0,1592.6,true,true,,,ACI,0.5434782608695652,true
flat_slab,16.0,16.0,12.007874015748031,50.0,EFM (HC),5.821999522786926,4.94,1.177,72.08535207543687,5.821999522786926,84.00544507247366,190.50242249052422,0.7872790529466887,true,149.37569768710992,false,0,0,0,0.08170458771317532,true,0.04360437314526418,0.5336832895888015,14.0,14.0,0.0616,8.600000000000001,2.4,11.0,true,0,false,2.185,2.25,2.6684164479440073,2.6684164479440073,,16,3,3.5,3.5,12.0,0.907,124.0,1592.6,true,true,,,ACI,0.5434782608695652,true
flat_slab,16.0,16.0,12.007874015748031,50.0,EFM (ASAP),5.821999522786926,4.94,1.177,72.08535207543687,5.821999522786926,84.00544507247366,190.50242249052422,0.6145071979850173,true,116.59454305204125,false,0,0,0,0.08170458771317538,true,0.043604373145264205,0.5336832895888015,14.0,14.0,0.058333333333333334,8.6,2.4,10.999999999999998,true,0,false,0.312,2.25,2.6684164479440073,2.6684164479440073,,16,3,3.5,3.5,12.0,0.907,124.0,1592.6,true,true,,,ACI,0.5434782608695652,true
flat_slab,16.0,16.0,12.007874015748031,50.0,FEA,5.821999522786926,4.94,1.177,72.08535207543687,5.821999522786926,84.00544507247366,190.50242249052422,0.8311882740136497,true,157.70688661843667,false,0,0,0,0.14095162722326482,true,0.07522352808940644,0.5336832895888015,14.0,14.0,0.07680555555555556,7.999999999999999,2.4,10.399999999999999,true,0,false,4.11,2.25,2.6684164479440073,2.6684164479440073,,16,3,3.5,3.5,12.0,0.907,124.0,1592.6,true,true,,,ACI,0.5434782608695652,true
flat_slab,16.0,16.0,12.007874015748031,150.0,MDDM,5.821999522786926,4.84,1.204,72.08535207543687,5.821999522786926,149.47622488399062,354.21688614480485,0.9232893701472628,true,175.18184094525736,false,0,0,0,0.24511376313952588,true,0.1308131194357925,0.5336832895888015,14.0,24.5,0.061111111111111116,12.000000000000002,2.6,14.6,false,0,false,0.063,2.25,2.6684164479440073,2.6684164479440073,,16,3,4.75,4.75,12.0,0.973,199.8,2844.0,true,true,,,ACI,1.6304347826086956,true
flat_slab,16.0,16.0,12.007874015748031,150.0,DDM (Full),6.5,4.84,1.344,80.48004584274643,6.5,153.72720392810638,364.29051866557626,0.8474057593719078,true,160.7839381175883,false,0,0,0,0.17613437560566536,true,0.09399997298290104,0.5336832895888015,14.0,24.5,0.04489795918367347,11.4,2.8,14.2,false,0,false,0.614,2.25,2.6684164479440073,2.6684164479440073,,16,3,4.75,4.75,12.0,0.931,213.2,2957.8,true,true,,,ACI,1.6304347826086956,true
flat_slab,16.0,16.0,12.007874015748031,150.0,EFM (HC),7.0,4.89,1.431,86.67081859988077,7.0,158.76732128585425,368.0049823198569,0.8120058391317412,true,154.06727550075502,false,0,0,0,0.1410230405268392,true,0.07526164017617842,0.5336832895888015,14.0,23.0,0.061224489795918366,13.0,2.8000000000000003,15.799999999999999,false,0,true,0.695,2.25,2.6684164479440073,2.6684164479440073,,16,3,4.75,4.75,12.0,0.951,213.2,2957.8,true,true,,,ACI,1.6304347826086956,true
flat_slab,16.0,16.0,12.007874015748031,150.0,EFM (ASAP),7.0,4.91,1.426,86.67081859988077,7.0,160.00878146781412,368.0049823198569,0.8120058391317412,true,154.06727550075502,false,0,0,0,0.1410230405268392,true,0.07526164017617842,0.5336832895888015,14.0,17.5,0.061224489795918366,14.799999999999999,3.9999999999999996,18.8,true,0,true,0.39,2.25,2.6684164479440073,2.6684164479440073,,16,3,4.75,4.75,12.0,0.951,213.2,2957.8,true,true,,,ACI,1.6304347826086956,true
flat_slab,16.0,16.0,12.007874015748031,150.0,FEA,6.5,4.84,1.344,80.48004584274643,6.5,152.15973488236568,360.57605501129564,0.8542414804942872,true,162.0809250093748,false,0,0,0,0.6579210471480476,true,0.351121468731679,0.5336832895888015,14.0,26.0,0.058333333333333334,11.0,2.9999999999999996,14.0,true,0,true,4.457,2.25,2.6684164479440073,2.6684164479440073,,16,3,4.75,4.75,12.0,0.933,213.2,2957.8,true,true,,,ACI,1.6304347826086956,true
