floor_type,lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,sw_psf,vol_per_area_in,M0_kipft,qu_psf,punch_ratio,punch_ok,vu_max_psi,has_studs,n_stud_cols,stud_rails_max,stud_per_rail_max,defl_ratio,defl_ok,defl_in,defl_limit_in,col_min_in,col_max_in,col_rho_max,As_cs_in2,As_ms_in2,As_total_in2,integrity_ok,n_transfer_bars,runtime_s,h_drop_in,a_drop1_ft,a_drop2_ft,fdn_n_sized,fdn_n_groups,fdn_max_B_ft,fdn_max_L_ft,fdn_max_D_in,fdn_max_util,fdn_conc_vol_ft3,fdn_steel_vol_in3,fdn_ok,min_h_rule,LD_ratio,ddm_eligible
flat_plate,16.0,16.0,12.007874015748031,40.0,MDDM,6.404199475065617,79.29388728298053,6.404199475065617,80.31166262457283,183.15266473957664,0.9503803179436492,true,180.3219868858154,false,0,0,0,0.04910869284037587,true,0.02620848874245782,0.5336832895888015,14.0,16.0,0.0616,5.8,2.4,8.2,false,0,8.14,0.0,0.0,0.0,16,3,3.5,3.5,12.0,0.872,124.0,1592.6,true,ACI,0.43478260869565216,true
flat_plate,16.0,16.0,12.007874015748031,40.0,DDM (Full),6.404199475065617,79.29388728298053,6.404199475065617,80.31166262457283,183.15266473957664,0.9503803179436492,true,180.3219868858154,false,0,0,0,0.04910869284037587,true,0.02620848874245782,0.5336832895888015,14.0,16.0,0.0704,6.199999999999999,2.4,8.6,false,0,0.119,0.0,0.0,0.0,16,3,3.5,3.5,12.0,0.872,124.0,1592.6,true,ACI,0.43478260869565216,true
flat_plate,16.0,16.0,12.007874015748031,40.0,EFM (HC),6.404199475065617,79.29388728298053,6.404199475065617,80.76443814473275,183.15266473957664,0.838125527310927,true,159.02313788593125,false,0,0,0,0.04910869284037587,true,0.02620848874245782,0.5336832895888015,14.0,14.0,0.034444444444444444,7.4,2.4,9.8,true,0,3.512,0.0,0.0,0.0,16,3,3.5,3.5,12.0,0.872,124.0,1592.6,true,ACI,0.43478260869565216,true
flat_plate,16.0,16.0,12.007874015748031,40.0,EFM (ASAP),6.404199475065617,79.29388728298053,6.404199475065617,80.76443814473275,183.15266473957664,0.8291506873874004,true,157.3202817383059,false,0,0,0,0.04910869284037587,true,0.02620848874245782,0.5336832895888015,14.0,14.0,0.03013888888888889,7.199999999999999,2.4,9.599999999999998,true,0,0.054,0.0,0.0,0.0,16,3,3.5,3.5,12.0,0.872,124.0,1592.6,true,ACI,0.43478260869565216,true
flat_plate,16.0,16.0,12.007874015748031,40.0,FEA,6.404199475065617,79.29388728298053,6.404199475065617,79.86015983249382,183.15266473957664,0.877707097472071,true,166.53321279042962,false,0,0,0,0.08199545772630931,true,0.04375960561071626,0.5336832895888015,14.0,18.0,0.0616,5.8,2.4,8.2,true,0,15.267,0.0,0.0,0.0,16,3,3.5,3.5,12.0,0.872,124.0,1592.6,true,ACI,0.43478260869565216,true
flat_plate,16.0,16.0,12.007874015748031,50.0,MDDM,6.404199475065617,79.29388728298053,6.404199475065617,86.83664886767517,199.15266473957664,0.8920687107495204,true,169.25813732030497,false,0,0,0,0.0613858660504699,true,0.03276061092807231,0.5336832895888015,14.0,18.0,0.062,6.4,2.4,8.799999999999999,false,0,0.078,0.0,0.0,0.0,16,3,3.5,3.5,12.0,0.948,124.0,1592.6,true,ACI,0.5434782608695652,true
flat_plate,16.0,16.0,12.007874015748031,50.0,DDM (Full),6.404199475065617,79.29388728298053,6.404199475065617,86.83664886767517,199.15266473957664,0.8920687107495204,true,169.25813732030497,false,0,0,0,0.0613858660504699,true,0.03276061092807231,0.5336832895888015,14.0,18.0,0.024444444444444446,6.8,2.4,9.2,false,0,0.118,0.0,0.0,0.0,16,3,3.5,3.5,12.0,0.948,124.0,1592.6,true,ACI,0.5434782608695652,true
flat_plate,16.0,16.0,12.007874015748031,50.0,EFM (HC),6.404199475065617,79.29388728298053,6.404199475065617,87.81992386290746,199.15266473957664,0.9113431813158112,true,172.91521098130622,false,0,0,0,0.061385866050469855,true,0.03276061092807228,0.5336832895888015,14.0,14.0,0.034444444444444444,7.999999999999999,2.4,10.399999999999999,false,0,0.057,0.0,0.0,0.0,16,3,3.5,3.5,12.0,0.948,124.0,1592.6,true,ACI,0.5434782608695652,true
flat_plate,16.0,16.0,12.007874015748031,50.0,EFM (ASAP),6.404199475065617,79.29388728298053,6.404199475065617,87.81992386290746,199.15266473957664,0.9015843099997812,true,171.06359533623785,false,0,0,0,0.0613858660504699,true,0.03276061092807231,0.5336832895888015,14.0,14.0,0.034444444444444444,7.999999999999999,2.4,10.399999999999999,false,0,0.037,0.0,0.0,0.0,16,3,3.5,3.5,12.0,0.948,124.0,1592.6,true,ACI,0.5434782608695652,true
flat_plate,16.0,16.0,12.007874015748031,50.0,FEA,6.404199475065617,79.29388728298053,6.404199475065617,86.83664886767517,199.15266473957664,0.9543825505948598,true,181.08135714003856,false,0,0,0,0.10249432215788662,true,0.05469950701339532,0.5336832895888015,14.0,18.0,0.062,6.4,2.4,8.799999999999999,true,0,4.399,0.0,0.0,0.0,16,3,3.5,3.5,12.0,0.948,124.0,1592.6,true,ACI,0.5434782608695652,true
